0.353,0.022,0.000,0.002
0.020,0.097,0.011,-0.001
0.001,0.012,0.187,0.028
0.003,0.000,0.028,0.078
0.369,-0.002,-0.010,-0.009
-0.001,0.106,0.009,-0.006
-0.007,0.010,0.182,0.025
-0.006,-0.005,0.027,0.075
0.369,0.004,-0.003,0.000
0.007,0.105,0.014,-0.002
0.002,0.014,0.194,0.025
0.003,-0.001,0.026,0.079
0.373,0.010,-0.020,-0.012
0.012,0.105,0.016,-0.004
-0.017,0.016,0.200,0.031
-0.011,-0.004,0.031,0.080
0.389,0.005,-0.013,0.000
0.005,0.107,0.011,-0.006
-0.012,0.011,0.197,0.030
-0.001,-0.006,0.029,0.078
0.387,0.000,-0.011,-0.009
0.001,0.104,0.003,-0.008
-0.009,0.003,0.175,0.024
-0.007,-0.007,0.025,0.081
0.366,0.001,-0.010,-0.001
0.001,0.103,0.013,-0.004
-0.013,0.012,0.190,0.024
-0.003,-0.005,0.023,0.081
0.338,0.020,-0.031,-0.011
0.020,0.096,0.015,-0.002
-0.028,0.016,0.168,0.033
-0.012,-0.003,0.031,0.078
0.360,-0.002,0.007,0.000
-0.005,0.097,0.004,-0.009
0.006,0.006,0.181,0.025
0.001,-0.007,0.027,0.080
0.383,-0.012,-0.022,-0.007
-0.010,0.095,0.017,0.004
-0.023,0.016,0.195,0.021
-0.008,0.003,0.020,0.073
