0.314,-0.023,0.021,-0.011
-0.024,0.116,-0.009,0.003
0.021,-0.007,0.166,0.016
-0.009,0.004,0.017,0.040
0.312,-0.022,0.017,-0.012
-0.020,0.118,-0.012,0.005
0.018,-0.013,0.148,0.014
-0.011,0.004,0.014,0.040
0.313,-0.007,0.026,-0.006
-0.009,0.114,-0.005,0.002
0.025,-0.004,0.162,0.016
-0.009,0.001,0.015,0.038
0.301,-0.023,0.015,-0.015
-0.023,0.119,-0.008,0.006
0.015,-0.009,0.152,0.010
-0.015,0.006,0.010,0.038
0.282,-0.032,0.019,-0.013
-0.033,0.113,-0.011,0.006
0.017,-0.011,0.145,0.018
-0.014,0.006,0.018,0.041
0.324,-0.020,0.032,-0.011
-0.019,0.119,-0.005,0.006
0.033,-0.005,0.143,0.011
-0.009,0.007,0.012,0.041
0.317,-0.023,0.043,-0.015
-0.023,0.110,0.000,0.011
0.044,0.000,0.144,0.017
-0.016,0.010,0.017,0.036
0.306,-0.014,0.038,-0.012
-0.013,0.104,-0.001,0.003
0.040,-0.002,0.158,0.018
-0.013,0.002,0.017,0.039
0.326,-0.017,0.024,-0.015
-0.020,0.099,-0.018,0.010
0.025,-0.015,0.157,0.017
-0.013,0.011,0.017,0.040
0.276,-0.016,0.031,-0.006
-0.014,0.117,-0.007,0.006
0.034,-0.007,0.162,0.015
-0.008,0.005,0.013,0.039
